127.0.0.1 - - [22/Jan/2023:00:09:12 +0800] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:09:15 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 22612
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:20:21 +0800] "POST /CGA105G7/back-end/Location/loc.do HTTP/1.1" 200 20486
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:20:27 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 20486
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:33:44 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 21337
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:33:44 +0800] "GET /CGA105G7/back-end/css/back.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:33:44 +0800] "GET /CGA105G7/back-end/images/JavaTime.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:35:41 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 12197
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:36:18 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 12197
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:37:34 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 12201
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:38:36 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 12157
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:38:51 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 12163
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:39:07 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 12169
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:39:17 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 12164
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:39:46 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp?whichPage=2 HTTP/1.1" 200 12267
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:39:49 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp?whichPage=1 HTTP/1.1" 200 12164
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:39:50 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp?whichPage=7 HTTP/1.1" 200 11027
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:39:51 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp?whichPage=1 HTTP/1.1" 200 12164
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:40:02 +0800] "POST /CGA105G7/back-end/Location/locManage.jsp HTTP/1.1" 200 12397
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:40:20 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp?whichPage=5 HTTP/1.1" 200 12386
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:40:21 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp?whichPage=6 HTTP/1.1" 200 12407
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:40:22 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp?whichPage=7 HTTP/1.1" 200 11027
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:40:23 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp?whichPage=6 HTTP/1.1" 200 12407
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:40:25 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp?whichPage=5 HTTP/1.1" 200 12386
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:40:25 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp?whichPage=4 HTTP/1.1" 200 12397
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:40:26 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp?whichPage=3 HTTP/1.1" 200 12310
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:40:53 +0800] "GET /CGA105G7/back-end/Location/locManage.jsp?whichPage=3 HTTP/1.1" 200 12343
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:41:53 +0800] "POST /CGA105G7/back-end/Location/loc.do HTTP/1.1" 500 3648
